,DEPCOM,MACROZONE,Macro_agre,NOM,POP2010,POP2011
907,91405,91,,Milly-la-For?t,4741,4765
908,91408,91,,Moigny-sur-?cole,1302,1300
909,91411,91,,Les Moli?res,1961,1971
910,91412,91,,Mondeville,680,687
911,91414,91,,Monnerville,401,400
912,91421,91,,Montgeron,22880,22941
913,91425,91,,Montlh?ry,6840,7019
914,91432,Orly,,Morangis,12136,12592
915,91433,91,,Morigny-Champigny,4311,4305
916,91434,91,,Morsang-sur-Orge,20944,21043
917,91435,91,,Morsang-sur-Seine,510,524
918,91441,91,,Nainville-les-Roches,454,463
919,91457,91,,La Norville,4075,4048
920,91458,91,,Nozay,4731,4736
921,91461,91,,Ollainville,4550,4560
922,91463,91,,Oncy-sur-?cole,958,973
923,91468,91,,Ormoy,1858,1894
924,91469,91,,Ormoy-la-Rivi?re,941,943
925,91471,91,,Orsay,15966,15903
926,91473,91,,Orveau,197,196
927,91477,91,,Palaiseau,30285,30316
928,91479,Orly,,Paray-Vieille-Poste,7111,7171
929,91482,91,,Pecqueuse,623,626
930,91494,91,,Le Plessis-P?t?,4036,4158
931,91495,91,,Plessis-Saint-Benoist,308,308
932,91507,91,,Prunay-sur-Essonne,310,314
933,91508,91,,Puiselet-le-Marais,270,276
934,91511,91,,Pussay,1963,1982
935,91514,91,,Quincy-sous-S?nart,8048,8209
936,91519,91,,Richarville,408,406
937,91521,91,,Ris-Orangis,27463,26988
938,91525,91,,Roinville,1242,1243
939,91526,91,,Roinvilliers,92,91
940,91533,91,,Saclas,1806,1805
941,91534,91,,Saclay,3241,3439
942,91538,91,,Saint-Aubin,690,695
943,91540,91,,Saint-Ch?ron,4799,4817
944,91544,91,,Saint-Cyr-la-Rivi?re,501,505
945,91546,91,,Saint-Cyr-sous-Dourdan,1011,1007
946,91547,91,,Saint-Escobille,460,452
947,91549,91,,Sainte-Genevi?ve-des-Bois,34195,34771
948,91552,91,,Saint-Germain-l?s-Arpajon,9338,9324
949,91553,91,,Saint-Germain-l?s-Corbeil,7174,7242
950,91556,91,,Saint-Hilaire,380,393
951,91560,91,,Saint-Jean-de-Beauregard,278,279
952,91568,91,,Saint-Maurice-Montcouronne,1641,1626
953,91570,91,,Saint-Michel-sur-Orge,20046,20224
954,91573,91,,Saint-Pierre-du-Perray,8350,8618
955,91577,91,,Saintry-sur-Seine,5093,5140
956,91578,91,,Saint-Sulpice-de-Favi?res,324,324
957,91579,91,,Saint-Vrain,2813,2850
958,91581,91,,Saint-Yon,909,899
959,91587,91,,Saulx-les-Chartreux,5048,5065
960,91589,91,,Savigny-sur-Orge,36842,37132
961,91593,91,,Sermaise,1680,1666
962,91599,91,,Soisy-sur-?cole,1357,1346
963,91600,91,,Soisy-sur-Seine,7048,6922
964,91602,91,,Souzy-la-Briche,382,393
965,91613,91,,Congerville-Thionville,222,227
966,91617,91,,Tigery,2757,2918
967,91619,91,,Torfou,272,272
968,91629,91,,Valpuiseaux,619,620
969,91630,91,,Le Val-Saint-Germain,1460,1448
970,91631,91,,Varennes-Jarcy,2373,2360
971,91634,91,,Vaugrigneuse,1269,1288
972,91635,91,,Vauhallan,1985,1969
973,91639,91,,Vayres-sur-Essonne,893,893
974,91645,91,,Verri?res-le-Buisson,15418,15534
975,91648,91,,Vert-le-Grand,2410,2404
976,91649,91,,Vert-le-Petit,2636,2682
